In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Simplified job title,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
Faculty of Arts and Humanities,AHRC,Associate Professor,Associate Professor,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Arts and Humanities,,Professor,Professor,No,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Arts and Humanities,V C scholarship ,PhD Archaeoligy,PhD Archaeoligy,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,,Phd Student,PhD,Yes,3,Yes,5,Yes,No,No,"No, I do not require HPC in my research",Confident,Confident,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,"SMMI, UoS",PhD candidate,PhD,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Suitable
Faculty of Arts and Humanities,AHRC,PhD candidate,PhD,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Arts and Humanities,AHRC;British Academy - Leverhulme,Associate Professor in Music,Associate Professor,Yes,5,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
Faculty of Arts and Humanities,,Research Student ,Research Student ,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Arts and Humanities,AHRC,Lecturer in Film,Lecturer in Film,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
Faculty of Arts and Humanities,AHRC,Postgraduate researcher,PhD,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,AHRC;ESRC,Lecturer in Sociolinguistics,Lecturer in Sociolinguistics,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Arts and Humanities,AHRC,,,No,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Arts and Humanities,Leverhulme Trust,PhD student,PhD,Yes,5,Yes,2,Yes,No,I'm not interested in commercialising my research software,"No, I have not used HPC facilities myself, but do I use data from simulations run using the NOCS HPC system",Not confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,AHRC,PhD Researcher,PhD,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Arts and Humanities,,PhD ,PhD,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Arts and Humanities,ERC,Research Fellow,Research Fellow,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,Self funded,PhD Student,PhD,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Arts and Humanities,Mostly unfunded,lecturer,Lecturer,Yes,4,No,,,,,,,,,,Yes,No (we did NOT expect to write software as part of the project),,Suitable
Faculty of Arts and Humanities,,Associate Professor,Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Arts and Humanities,Myself,Senior Software Engineer,Senior Software Engineer,Yes,3,Yes,5,No,Yes,I'm not interested in commercialising my research software,N/A,Very confident,Very confident,Very confident,1,Yes,No (we did NOT expect to write software as part of the project),Suitable,Unsuitable
Faculty of Arts and Humanities,Faculty of Humanities at UoS,Postgraduate researcher,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Arts and Humanities,ESRC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Arts and Humanities,AHRC,Student,Student,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Arts and Humanities,AHRC,Post Graduate Researcher ,Postgrad,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Arts and Humanities,,PGR researcher,PGR researcher,Yes,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
Faculty of Arts and Humanities,,PhD Student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,None of my research is funded. It should be! ,Maritime Archaeologist and Remote Sensing Specialist,Maritime Archaeologist and Remote Sensing Specialist,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Perfect
Faculty of Arts and Humanities,My government ,PhD student and language tutor,PhD,Yes,5,Yes,5,No,Yes,Yes,"No, I do not require HPC in my research",Very confident,Very confident,,4,No,No (but we DID expect to write software as part of the project),Perfect,Perfect
Faculty of Environmental and Life Sciences,NERC,PhD candidate,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,Gerald Kermit Trust,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Confident,Confident,Confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,GSNOCS,PhD,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,Yes,Confident,Not heard of it,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NERC,PhD Researcher,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,4,Yes,2,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Confident,Not heard of it,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,PTDF ,Student ,Student,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Unsuitable
Faculty of Environmental and Life Sciences,SMMI,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Unsuitable
Faculty of Environmental and Life Sciences,EPSRC;Rosetrees trust,PhD student,PhD,Yes,5,No,,,,,,,,,,Yes,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,NERC,Postgraduate research student,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,BBSRC;NERC,associate professor,Associate Professor,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Suitable
