funder,raw_funders,clean_funders
ESRC,ESRC,ESRC
AHRC,AHRC,AHRC
Lots of it isn't externally funded,Lots of it isn't externally funded,Unfunded
ESRC,ESRC,ESRC
NERC,NERC,NERC
NIHR,NIHR,NIHR
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
Leverhulme Trust/ British Academy,Leverhulme Trust/ British Academy,Leverhulme Trust / British Academy
EPSRC,EPSRC,EPSRC
ESRC,ESRC,ESRC
EU,EU,EU
Commercial,Commercial,Private Sector
Charity,Charity,Charity / NGO
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
EPSRC,EPSRC,EPSRC
ESRC,ESRC,ESRC
Leverhulme Trust,Leverhulme Trust,Leverhulme Trust
ESRC,ESRC,ESRC
voluntary and statutory sector organisations,voluntary and statutory sector organisations,Charity / NGO
AHRC,AHRC,AHRC
ESRC,ESRC,ESRC
British Academy,British Academy,British Academy
Leverhulme,Leverhulme,Leverhulme Trust
No response,No response,No response
ESRC,ESRC,ESRC
Leverhulme Trust,Leverhulme Trust,Leverhulme Trust
ESRC,ESRC,ESRC
British Academy,British Academy,British Academy
ESRC,ESRC,ESRC
ESRC,ESRC,ESRC
Leverhulme Trust,Leverhulme Trust,Leverhulme Trust
ESRC,ESRC,ESRC
NERC,NERC,NERC
AHRC,AHRC,AHRC
ESRC,ESRC,ESRC
MRC,MRC,MRC
NIHR,NIHR,NIHR
British Red Cross,British Red Cross,British Red Cross
FareShare,FareShare,FareShare
BBSRC,BBSRC,BBSRC
ESRC,ESRC,ESRC
Leverhulme,Leverhulme,Leverhulme Trust
EPSRC,EPSRC,EPSRC
NERC,NERC,NERC
Royal Society,Royal Society,Royal Society
NERC,NERC,NERC
AHRC,AHRC,AHRC
Wellcome Trust,Wellcome Trust,Wellcome Trust
British Academy,British Academy,British Academy
ERC,ERC,ERC
No response,No response,No response
Japanese organisations,Japanese organisations,Japanese organisations
STFC,STFC,STFC
Daiwa Anglo-Japanese Foundation,Daiwa Anglo-Japanese Foundation,Daiwa Anglo-Japanese Foundation
ESRC,ESRC,ESRC
MRC,MRC,MRC
NIHR,NIHR,NIHR
Wellcome Trust,Wellcome Trust,Wellcome Trust
BBSRC,BBSRC,BBSRC
