Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used ShARC/Bessemer, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer (or fractional FTE equivalent of a developer) from a central University of Sheffield pool as needed]
2020/10/06 1:12:44 pm GMT,Faculty of Social Sciences,ESRC,professor,No,1,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
2020/10/06 1:15:38 pm GMT,Faculty of Social Sciences,AHRC;Lots of it isn't externally funded,Senior Lecturer in Quantitative Methods,Yes,5,No,,,,,,,,,,Yes,Yes,Unsuitable,Perfect
2020/10/06 1:16:08 pm GMT,Faculty of Social Sciences,ESRC;NERC;NIHR,Lecturer,Yes,5,No,,,,,,,,,,Yes,Yes,Suitable,Perfect
2020/10/06 1:21:02 pm GMT,Faculty of Social Sciences,ESRC,Senior Lecturer,Yes,5,Yes,4,No,Yes,No,"No, but I would like to use IRIDIS in the future",Very confident,Confident,Confident,3,Yes,No (but we DID expect to write software as part of the project),Suitable,Suitable
2020/10/06 1:44:10 pm GMT,Faculty of Social Sciences,ESRC;Leverhulme Trust/ British Academy,Senior Lecturer,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/10/06 1:48:16 pm GMT,Faculty of Social Sciences,"EPSRC;ESRC;EU, Commercial, Charity",Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/10/06 4:16:05 pm GMT,Faculty of Social Sciences,ESRC,Senior Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/10/06 5:14:39 pm GMT,Faculty of Social Sciences,ESRC,Research Associate,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/10/06 5:29:21 pm GMT,Faculty of Social Sciences,ESRC,Innovation Fellow ,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/10/06 7:01:01 pm GMT,Faculty of Social Sciences,ESRC,UKRI Innovation Fellow,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/10/06 8:56:54 pm GMT,Faculty of Social Sciences,ESRC,Senior Lecturer,Yes,3,No,,,,,,,,,,No,Yes,Suitable,Unsuitable
2020/10/07 6:09:45 am GMT,Faculty of Social Sciences,ESRC,Policy Research Associate,Yes,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/10/07 7:59:02 am GMT,Faculty of Social Sciences,ESRC,Research Associate,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2020/10/07 8:10:42 am GMT,Faculty of Social Sciences,ESRC,Senior Lecturer in Quantitative Social Sciences,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Unsuitable
2020/10/07 9:05:32 am GMT,Faculty of Social Sciences,ESRC,Senior Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/10/07 9:43:53 am GMT,Faculty of Social Sciences,EPSRC;ESRC;Leverhulme Trust,Research Associate,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not heard of it,3,Yes,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/10/07 1:22:58 pm GMT,Faculty of Social Sciences,ESRC,ESRC Research Fellow,No,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/07 2:03:27 pm GMT,Faculty of Social Sciences,voluntary and statutory sector organisations,Senior Lecturer in Social Work,Yes,3,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/07 4:14:04 pm GMT,Faculty of Social Sciences,AHRC,Research Fellow,No,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/10/08 8:42:37 am GMT,Faculty of Social Sciences,"ESRC;British Academy, Leverhulme",Reader in Political Theory,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/08 8:43:06 am GMT,Faculty of Social Sciences,,Lecturer,Yes,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/10/08 8:45:42 am GMT,Faculty of Social Sciences,ESRC,SL,No,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/08 8:54:23 am GMT,Faculty of Social Sciences,Leverhulme Trust,Lecturer,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use IRIDIS in the future",Not heard of it,Not heard of it,Not heard of it,1,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/10/08 9:18:23 am GMT,Faculty of Social Sciences,ESRC,Lecturer in Criminology and Social Policy,No,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/10/08 9:22:37 am GMT,Faculty of Social Sciences,British Academy,British Academy Postdoctoral Fellow,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/10/08 9:34:57 am GMT,Faculty of Social Sciences,ESRC,research associate,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2020/10/08 10:00:55 am GMT,Faculty of Social Sciences,ESRC;Leverhulme Trust,Lecturer,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/08 10:04:35 am GMT,Faculty of Social Sciences,ESRC,Postdoctoral Research Associate,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/10/08 10:13:17 am GMT,Faculty of Social Sciences,NERC,Senior Lecturer in Physical Geography,Yes,5,Yes,2,Yes,No,I'm not interested in commercialising my research software,"No, I use other HPC facilities",Not confident,Not heard of it,Not heard of it,4,No,Yes,,Perfect
2020/10/08 10:15:02 am GMT,Faculty of Social Sciences,AHRC,Pos-doctoral fellow,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/10/08 10:24:56 am GMT,Faculty of Social Sciences,"ESRC;MRC;NIHR;British Red Cross, FareShare",Sr. Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
2020/10/08 10:54:38 am GMT,Faculty of Social Sciences,BBSRC;ESRC;Leverhulme,Research Fellow,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/08 11:09:41 am GMT,Faculty of Social Sciences,EPSRC;NERC;Royal Society,Lecturer,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,Sharc/Iceberg,Not confident,Not heard of it,Not heard of it,3,No,Yes,Unsuitable,Suitable
2020/10/08 11:19:10 am GMT,Faculty of Social Sciences,NERC,Senior Lecturer,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Perfect
2020/10/08 12:27:13 pm GMT,Faculty of Arts and Humanities,"AHRC;Wellcome Trust;British Academy, ERC",Professor East Asian Cinema.,Yes,3,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
2020/10/08 12:31:25 pm GMT,Faculty of Arts and Humanities,,Lecturer in Korean Studies,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/08 2:11:56 pm GMT,Faculty of Arts and Humanities,Japanese organisations,Senior Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/10/08 3:00:23 pm GMT,Faculty of Social Sciences,STFC,Research Assistant ,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
