raw_job,clean_job
professor,Professor
Senior Lecturer in Quantitative Methods,Senior Lecturer
Lecturer,Lecturer
Senior Lecturer,Senior Lecturer
Professor,Professor
Research Associate,Research Associate
"Innovation Fellow ",Fellow
UKRI Innovation Fellow,Fellow
Policy Research Associate,Research Associate
Senior Lecturer in Quantitative Social Sciences,Senior Lecturer
Senior Research Fellow,Fellow
ESRC Research Fellow,Fellow
Senior Lecturer in Social Work,Senior Lecturer
Research Fellow,Fellow
Reader in Political Theory,Reader
SL,Senior Lecturer
Lecturer in Criminology and Social Policy,Lecturer
British Academy Postdoctoral Fellow,Research Associate
research associate,Research Associate
Postdoctoral Research Associate,Research Associate
Senior Lecturer in Physical Geography,Senior Lecturer
Pos-doctoral fellow,Research Associate
Sr. Lecturer,Senior Lecturer
Professor East Asian Cinema.,Professor
Lecturer in Korean Studies,Lecturer
"Research Assistant ",Research Associate
PhD Candidate,PhD Student
Prof of Public health,Professor
PGR Student,PGR Student
Doctoral researcher,PhD Student
LEcturer,Lecturer
"Professor ",Professor
"Senior Lecturer ",Senior Lecturer
Senior Lecturer in Psychology,Senior Lecturer
"Senior Lecturer in Economics ",Senior Lecturer
Senior Lecturer in Human Osteology,Senior Lecturer
Senior Lecturer in ...,Senior Lecturer
Honorary Research Fellow,Fellow
Professor of Electroacoustic Music Composition,Professor
Professor Emeritus,Professor
University Teacher,University Teacher
Professor of Applied Linguistics,Professor
PhD candidate,PhD Student
No response,No response
Scientific Officer,Scientific Officer
"Clinical PhD fellow ",PhD Student
Visiting Professor,Professor
honorary research fellow,Fellow
Research fellow,Fellow
Postdoctoral researcher (co-investigator),Research Associate
Activities and Educational Visits Coordinator,Activities and Educational Visits Coordinator
PDRA,Research Associate
Professor / BHF Senior Fellow,Professor
Head of Data Management,Head of Data Management
Professor of Public Health,Professor
Postdoc,Research Associate
Microscope Facility Manager,Facility Manager
Lecturer in Management Accounting,Lecturer
PhD student,PhD Student
Professor of Sensory Neuroscience,Professor
Experimental Officer,Experimental Officer
Print Estimator,Print Estimator
"research fellow ",Fellow
Research Associate in Thoracic Oncological MR Imaging,Research Associate
PhD Student,PhD Student
"Postdoctoral Researcher ",Research Associate
Industrial adviser,Industrial Adviser
Statistical Support Advisor,Statistical Support Advisor
Research Associate - Software Development,Research Associate
Doctoral Associate in Accounting & Finance,Research Associate
Professor of Orthodontics,Professor
Research Technician,Research Technician
Community Outreach Manager,Community Outreach Manager
Senior Research Technician,Senior Research Technician
Lightsheet Microscope Manager,Microscope Manager
Medical statistician,Medical Statistician
Technical Fellow,Technical Fellow
Research Engineer,Research Engineer
Manufacturing Engineer,Manufacturing Engineer
Research Assistant,Research Associate
Research associate,Research Associate
Project Manager,Project Manager
Postdoctoral Research Associate in Robot Navigation,Research Associate
Project engineer,Project Engineer
"Research Associate ",Research Associate
Project Engineer,Project Engineer
PGR,PGR Student
PhD student and Teaching Assistant,PhD Student
PhD Researcher,PhD Student
"PhD Student ",PhD Student
Research associate in soft tribology,Research Associate
PhD researcher,PhD Student
Retired lecturer,Lecturer
Field Officer,Field Officer
Zooarchaeologist,Zooarchaeologist
Postgraduate Researcher,Research Associate
Postdoctoral researcher,Research Associate
PhD,PhD Student
Postgraduate Research Student in Experimental Particle Physics,PhD Student
Postgraduate student,PGR Student
Retired,Retired
Doctoral Researcher,PhD Student
"PhD student ",PhD Student
PGR student department of Chemistry,PhD Student
"PhD Researcher ",PhD Student
PostDoc,Research Associate
Phd student - research assistant,PhD Student
PhD in Matematics,PhD Student
"student ",Student
"Postdoc ",Research Associate
"Ph.d. student, part-time lecturer",PhD Student
senior research fellow,Senior Research Fellow
psychologist,Psychologist
PHD student,PhD Student
researcher,Researcher
Post-doctoral research associate,Research Associate
Postdoctoral Research Assistant,Research Associate
"Phd student ",PhD Student
Leverhulme Early Career Fellow,Fellow
lecturer,Lecturer
Phd candidate,PhD Student
Accountant,Accountant
Head of Department,Head of Department
PhD Research Student,PhD Student
Adult education tutor,Adult Education Tutor
Student,Student
Research Associate (PDRA),Research Associate
Biological mass spectrometry facility manager,Facility Manager
RA,Research Associate
EngD Student,EngD Student
PHD,PhD Student
student,Student
PhD Student - Resilience in Decarbonised Energy,PhD Student
Postgraduate Research Student,PGR Student
PhD student and research assistant,PhD Student
PhD Student/Researcher,PhD Student
PhD Scholar,PhD Student
"Fire Dynamic ",Fire Dynamic
EngD research engineer,EngD Research Engineer
Senior Design and Development Engineer,Senior Engineer
Phd student,PhD Student
maintenance engineer,Maintenance Engineer
PhD Biomaterials and Regenerative Medicine,PhD Student
PhD research student,PhD Student
Senior robotics and controls engineer,Senior Engineer
"PhD candidate ",PhD Student
Information Specialist,Information Specialist
Research Software Engineer,Research Software Engineer
Data Architect,Data Architect
Lecturer in Bioinformatics,Lecturer
Reader,Reader
