Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
2019/06/12 2:24:24 pm CET,Faculty of Arts and Humanities,AHRC,Associate Professor,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/12 2:25:12 pm CET,Faculty of Arts and Humanities,,Professor,No,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/12 2:26:24 pm CET,Faculty of Arts and Humanities,V C scholarship ,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/12 2:26:38 pm CET,Faculty of Arts and Humanities,,PhD student,Yes,3,Yes,5,Yes,No,No,"No, I do not require HPC in my research",Confident,Confident,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/12 2:27:00 pm CET,Faculty of Arts and Humanities,"SMMI, UoS",PhD student,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Suitable
2019/06/12 2:28:25 pm CET,Faculty of Arts and Humanities,AHRC,PhD student,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/12 2:29:47 pm CET,Faculty of Arts and Humanities,AHRC;British Academy - Leverhulme,Associate Professor,Yes,5,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
2019/06/12 2:31:46 pm CET,Faculty of Arts and Humanities,,PhD student,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/12 2:33:36 pm CET,Faculty of Arts and Humanities,AHRC,Lecturer,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
2019/06/12 2:41:57 pm CET,Faculty of Arts and Humanities,AHRC,PhD student,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/12 2:44:24 pm CET,Faculty of Arts and Humanities,AHRC;ESRC,Lecturer,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/12 2:48:51 pm CET,Faculty of Arts and Humanities,AHRC,,No,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/12 2:51:46 pm CET,Faculty of Arts and Humanities,Leverhulme Trust,PhD student,Yes,5,Yes,2,Yes,No,,"No, I have not used HPC facilities myself, but do I use data from simulations run using the NOCS HPC system",Not confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/12 2:54:39 pm CET,Faculty of Arts and Humanities,AHRC,PhD student,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/12 3:38:35 pm CET,Faculty of Arts and Humanities,,PhD student,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/12 3:39:41 pm CET,Faculty of Arts and Humanities,ERC,Research Fellow,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/12 3:59:39 pm CET,Faculty of Arts and Humanities,Self funded,PhD student,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/12 4:42:44 pm CET,Faculty of Arts and Humanities,Mostly unfunded,Lecturer,Yes,4,No,,,,,,,,,,Yes,No (we did NOT expect to write software as part of the project),,Suitable
2019/06/12 5:09:44 pm CET,Faculty of Arts and Humanities,,Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/12 5:13:24 pm CET,Faculty of Arts and Humanities,Myself,Senior Software Engineer,Yes,3,Yes,5,No,Yes,,N/A,Very confident,Very confident,Very confident,1,Yes,No (we did NOT expect to write software as part of the project),Suitable,Unsuitable
